,Reviewer_Name,Review,Rating,Time,Tat_ID
5,Spring T.,A++++ definitely going back!! My artist listened and did an amazing job! And they take the time to work on it and be sure it's correct and take the time to...,5.0,2019-05-06 11:41:26,jcV7LZ_Xx-_Zv60iT5DYMg
6,Adam S.,I had a great experience from the minute I made my appointment til I walked out with Ken's work on my arm.  I already made an appointment in a week for my...,5.0,2019-06-16 10:06:52,jcV7LZ_Xx-_Zv60iT5DYMg
7,Kit C.,"So glad that there is a tattoo shop, an upscale tattoo shop in Forest Hills. Walking by Bareburger and found they are just open and found that they are not...",4.0,2019-03-29 11:08:38,jcV7LZ_Xx-_Zv60iT5DYMg
8,Spring T.,A++++ definitely going back!! My artist listened and did an amazing job! And they take the time to work on it and be sure it's correct and take the time to...,5.0,2019-05-06 11:41:26,jcV7LZ_Xx-_Zv60iT5DYMg
0,Melanie R.,This is a great place to get piercings. My daughter had a hole put in both ears and her cartilage pierced. It was only $70. The prices are great but it's...,5.0,2019-12-08 15:52:08,CbMb0b7yhbtfhyflUJqkhg
1,Felicia I.,I've been here for a piercing & Harry did mine & he was  was very professional & took his time which I greatly appreciated considering what I was getting...,5.0,2019-11-11 12:07:00,CbMb0b7yhbtfhyflUJqkhg
2,Brie A. C.,"Came here for a piercing including another person that came with me. Very respectful staff and ensured that we felt the minimal
Amount of pain. Would recommend.",5.0,2019-06-04 18:11:16,CbMb0b7yhbtfhyflUJqkhg
3,Melanie R.,This is a great place to get piercings. My daughter had a hole put in both ears and her cartilage pierced. It was only $70. The prices are great but it's...,5.0,2019-12-08 15:52:08,CbMb0b7yhbtfhyflUJqkhg
4,Felicia I.,I've been here for a piercing & Harry did mine & he was  was very professional & took his time which I greatly appreciated considering what I was getting...,5.0,2019-11-11 12:07:00,CbMb0b7yhbtfhyflUJqkhg
5,Brie A. C.,"Came here for a piercing including another person that came with me. Very respectful staff and ensured that we felt the minimal
Amount of pain. Would recommend.",5.0,2019-06-04 18:11:16,CbMb0b7yhbtfhyflUJqkhg
6,Melanie R.,This is a great place to get piercings. My daughter had a hole put in both ears and her cartilage pierced. It was only $70. The prices are great but it's...,5.0,2019-12-08 15:52:08,CbMb0b7yhbtfhyflUJqkhg
7,Felicia I.,I've been here for a piercing & Harry did mine & he was  was very professional & took his time which I greatly appreciated considering what I was getting...,5.0,2019-11-11 12:07:00,CbMb0b7yhbtfhyflUJqkhg
8,Brie A. C.,"Came here for a piercing including another person that came with me. Very respectful staff and ensured that we felt the minimal
Amount of pain. Would recommend.",5.0,2019-06-04 18:11:16,CbMb0b7yhbtfhyflUJqkhg
0,J C.,I got two tattoos done here by two different artists. I love them both. The place is clean. They show you they're using new needles. Everyone is very nice....,5.0,2020-02-24 20:10:11,GVXExK_5BIiiiKcrTlGSGQ
1,Melissa R.,I have 7 tattoos and each one has been done here. It's like collecting Pokémon for me since each one was done by a different staff member. My boyfriend has...,5.0,2019-09-13 09:53:28,GVXExK_5BIiiiKcrTlGSGQ
2,Tia A.,"AMAZING! Got my first tattoo done here, and I'm definitely going back for more. The artist was professional, and the atmosphere was calm, it wasn't too...",5.0,2019-10-15 12:04:46,GVXExK_5BIiiiKcrTlGSGQ
3,J C.,I got two tattoos done here by two different artists. I love them both. The place is clean. They show you they're using new needles. Everyone is very nice....,5.0,2020-02-24 20:10:11,GVXExK_5BIiiiKcrTlGSGQ
4,Melissa R.,I have 7 tattoos and each one has been done here. It's like collecting Pokémon for me since each one was done by a different staff member. My boyfriend has...,5.0,2019-09-13 09:53:28,GVXExK_5BIiiiKcrTlGSGQ
5,Tia A.,"AMAZING! Got my first tattoo done here, and I'm definitely going back for more. The artist was professional, and the atmosphere was calm, it wasn't too...",5.0,2019-10-15 12:04:46,GVXExK_5BIiiiKcrTlGSGQ
6,J C.,I got two tattoos done here by two different artists. I love them both. The place is clean. They show you they're using new needles. Everyone is very nice....,5.0,2020-02-24 20:10:11,GVXExK_5BIiiiKcrTlGSGQ
7,Melissa R.,I have 7 tattoos and each one has been done here. It's like collecting Pokémon for me since each one was done by a different staff member. My boyfriend has...,5.0,2019-09-13 09:53:28,GVXExK_5BIiiiKcrTlGSGQ
8,Tia A.,"AMAZING! Got my first tattoo done here, and I'm definitely going back for more. The artist was professional, and the atmosphere was calm, it wasn't too...",5.0,2019-10-15 12:04:46,GVXExK_5BIiiiKcrTlGSGQ
0,Abida K.,i spontaneously decided to get a helix piercing and this was the best place to do it! all tools were new and sterile and the piercer did it so quickly i...,5.0,2020-02-23 13:19:40,iilXA7Mo0EPR2MzP6PRN2g
1,J C.,"Came here twice for piercings. Was super nervous but Banger is excellent. She knows what she's doing, was using sterile techniques and shows you everything,...",5.0,2020-02-09 13:22:32,iilXA7Mo0EPR2MzP6PRN2g
2,Kay K.,Love the environment. The staff is very friendly and helpful as soon as we walked in. I definitely will be coming back in the near future,5.0,2019-11-04 16:32:31,iilXA7Mo0EPR2MzP6PRN2g
3,Abida K.,i spontaneously decided to get a helix piercing and this was the best place to do it! all tools were new and sterile and the piercer did it so quickly i...,5.0,2020-02-23 13:19:40,iilXA7Mo0EPR2MzP6PRN2g
4,J C.,"Came here twice for piercings. Was super nervous but Banger is excellent. She knows what she's doing, was using sterile techniques and shows you everything,...",5.0,2020-02-09 13:22:32,iilXA7Mo0EPR2MzP6PRN2g
5,Kay K.,Love the environment. The staff is very friendly and helpful as soon as we walked in. I definitely will be coming back in the near future,5.0,2019-11-04 16:32:31,iilXA7Mo0EPR2MzP6PRN2g
6,Abida K.,i spontaneously decided to get a helix piercing and this was the best place to do it! all tools were new and sterile and the piercer did it so quickly i...,5.0,2020-02-23 13:19:40,iilXA7Mo0EPR2MzP6PRN2g
7,J C.,"Came here twice for piercings. Was super nervous but Banger is excellent. She knows what she's doing, was using sterile techniques and shows you everything,...",5.0,2020-02-09 13:22:32,iilXA7Mo0EPR2MzP6PRN2g
8,Kay K.,Love the environment. The staff is very friendly and helpful as soon as we walked in. I definitely will be coming back in the near future,5.0,2019-11-04 16:32:31,iilXA7Mo0EPR2MzP6PRN2g
0,Limore S.,"The nicest and most thoughtful staff. From the moment I entered they were receptive, gracious and generous. Get a tattoo just to meet this solid and...",5.0,2019-10-29 13:20:10,oHa_I_TWUoSLYcUxBy9MbQ
1,Ashley R.,I wanted to get my nose pierced for a while and didn't want to just go to anyone!!! I looked on yelp and ran right into Rebel Ink!! I had asked a question...,5.0,2018-04-06 08:23:01,oHa_I_TWUoSLYcUxBy9MbQ
2,M B.,"I have two tattoos from Rebel ink, so something kept me coming back.   However there is still something missing that keeps It from getting five stars....",4.0,2019-05-30 06:18:50,oHa_I_TWUoSLYcUxBy9MbQ
3,Limore S.,"The nicest and most thoughtful staff. From the moment I entered they were receptive, gracious and generous. Get a tattoo just to meet this solid and...",5.0,2019-10-29 13:20:10,oHa_I_TWUoSLYcUxBy9MbQ
4,Ashley R.,I wanted to get my nose pierced for a while and didn't want to just go to anyone!!! I looked on yelp and ran right into Rebel Ink!! I had asked a question...,5.0,2018-04-06 08:23:01,oHa_I_TWUoSLYcUxBy9MbQ
5,M B.,"I have two tattoos from Rebel ink, so something kept me coming back.   However there is still something missing that keeps It from getting five stars....",4.0,2019-05-30 06:18:50,oHa_I_TWUoSLYcUxBy9MbQ
6,Limore S.,"The nicest and most thoughtful staff. From the moment I entered they were receptive, gracious and generous. Get a tattoo just to meet this solid and...",5.0,2019-10-29 13:20:10,oHa_I_TWUoSLYcUxBy9MbQ
7,Ashley R.,I wanted to get my nose pierced for a while and didn't want to just go to anyone!!! I looked on yelp and ran right into Rebel Ink!! I had asked a question...,5.0,2018-04-06 08:23:01,oHa_I_TWUoSLYcUxBy9MbQ
8,M B.,"I have two tattoos from Rebel ink, so something kept me coming back.   However there is still something missing that keeps It from getting five stars....",4.0,2019-05-30 06:18:50,oHa_I_TWUoSLYcUxBy9MbQ
0,Mickel E.,"BS+++
So first time I came to Meanstreet they were in the College Point location.  It was a small humble shop with high class treatment.  When they finally...",5.0,2019-07-29 06:40:32,jeIXrxQXXKaruIv5hQHFBA
1,Jenn Y.,"Im OBSESSED with Tommy's artwork. Hes truly an amazing artist. Always a great time blasting the heavy & chatting it up with Tommy. 

I love his confidence...",5.0,2019-04-11 11:42:03,jeIXrxQXXKaruIv5hQHFBA
2,Lauren K.,"Came here to cover up my small bow tattoo and replace it with a sun. Staff was professional, prices are great, place is very clean! Chris did my tattoo and...",5.0,2019-04-06 17:29:04,jeIXrxQXXKaruIv5hQHFBA
3,Mickel E.,"BS+++
So first time I came to Meanstreet they were in the College Point location.  It was a small humble shop with high class treatment.  When they finally...",5.0,2019-07-29 06:40:32,jeIXrxQXXKaruIv5hQHFBA
4,Jenn Y.,"Im OBSESSED with Tommy's artwork. Hes truly an amazing artist. Always a great time blasting the heavy & chatting it up with Tommy. 

I love his confidence...",5.0,2019-04-11 11:42:03,jeIXrxQXXKaruIv5hQHFBA
5,Lauren K.,"Came here to cover up my small bow tattoo and replace it with a sun. Staff was professional, prices are great, place is very clean! Chris did my tattoo and...",5.0,2019-04-06 17:29:04,jeIXrxQXXKaruIv5hQHFBA
6,Mickel E.,"BS+++
So first time I came to Meanstreet they were in the College Point location.  It was a small humble shop with high class treatment.  When they finally...",5.0,2019-07-29 06:40:32,jeIXrxQXXKaruIv5hQHFBA
7,Jenn Y.,"Im OBSESSED with Tommy's artwork. Hes truly an amazing artist. Always a great time blasting the heavy & chatting it up with Tommy. 

I love his confidence...",5.0,2019-04-11 11:42:03,jeIXrxQXXKaruIv5hQHFBA
8,Lauren K.,"Came here to cover up my small bow tattoo and replace it with a sun. Staff was professional, prices are great, place is very clean! Chris did my tattoo and...",5.0,2019-04-06 17:29:04,jeIXrxQXXKaruIv5hQHFBA
0,June S.,"I'd never go anywhere else. work! Clean, safe and I always recommend to friends who want a piercing or tattoo! Everyone is really nice people. 

The first...",5.0,2018-03-23 18:02:56,is4zyo5-reuj0cNM1Q7kgw
1,Sequoiah W.,"I got my first tattoo here back in July and obviously it's now fully healed. I loved the atmosphere of the shop, Redd was very informative and took his time...",3.0,2020-03-09 05:08:29,is4zyo5-reuj0cNM1Q7kgw
